"slug","title","category","file_name","asset_path","alt_text","prompt","status"
"klby-a-kolagen","Kĺby a kolagén – kedy pomáha","klby-koza","klby-a-kolagen.webp","public/assets/img/articles/heroes/klby-a-kolagen.webp","Kĺby a kolagén – kedy pomáha","Realistická profesionálna hero fotografia bez textu, kolagénový doplnok a aktívny lifestyle detail so zameraním na kĺby, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"kolagen","Kolagén – základné informácie a užívanie","klby-koza","kolagen.webp","public/assets/img/articles/heroes/kolagen.webp","Kolagén – základné informácie a užívanie","Realistická profesionálna hero fotografia bez textu, kolagénový prášok, odmerka a čistý wellness packshot, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"kolagen-na-klby-porovnanie","Kolagén na kĺby – porovnanie a odporúčania","klby-koza","kolagen-na-klby-porovnanie.webp","public/assets/img/articles/heroes/kolagen-na-klby-porovnanie.webp","Kolagén na kĺby – porovnanie a odporúčania","Realistická profesionálna hero fotografia bez textu, kolagénový doplnok, pohár vody a aktívny lifestyle detail, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"kolagen-recenzia","Kolagén – recenzie a výber (typ I/II/III)","klby-koza","kolagen-recenzia.webp","public/assets/img/articles/heroes/kolagen-recenzia.webp","Kolagén – recenzie a výber (typ I/II/III)","Realistická profesionálna hero fotografia bez textu, kolagénový doplnok, odmerka a jemný beauty/wellness detail, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"kreatin-monohydrat-vs-hcl","Kreatín monohydrát vs. HCL – rozdiely a čo kúpiť","kreatin","kreatin-monohydrat-vs-hcl.webp","public/assets/img/articles/heroes/kreatin-monohydrat-vs-hcl.webp","Kreatín monohydrát vs. HCL – rozdiely a čo kúpiť","Realistická profesionálna hero fotografia bez textu, dve športové dózy vedľa seba a minimalistický fitness stôl, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"kreatin-porovnanie","Kreatín – porovnanie a výber (Creapure, monohydrát, HCl)","sila","kreatin-porovnanie.webp","public/assets/img/articles/heroes/kreatin-porovnanie.webp","Kreatín – porovnanie a výber (Creapure, monohydrát, HCl)","Realistická profesionálna hero fotografia bez textu, kreatínová dóza, shaker a športové prostredie v jemnom rozostrení, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"kreatin-vedlajsie-ucinky-a-fakty","Kreatín: vedľajšie účinky a fakty z výskumov","kreatin","kreatin-vedlajsie-ucinky-a-fakty.webp","public/assets/img/articles/heroes/kreatin-vedlajsie-ucinky-a-fakty.webp","Kreatín: vedľajšie účinky a fakty z výskumov","Realistická profesionálna hero fotografia bez textu, kreatínový doplnok a čistý odborný fitness packshot, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"najlepsi-protein-na-chudnutie-wpc-vs-wpi","Najlepší proteín na chudnutie: WPC vs. WPI, dávkovanie a načasovanie","proteiny","najlepsi-protein-na-chudnutie-wpc-vs-wpi.webp","public/assets/img/articles/heroes/najlepsi-protein-na-chudnutie-wpc-vs-wpi.webp","Najlepší proteín na chudnutie: WPC vs. WPI, dávkovanie a načasovanie","Realistická profesionálna hero fotografia bez textu, whey proteín, shaker a čistý stôl s jemným fitness kontextom, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"najlepsie-proteiny-2025","Najlepšie proteíny 2025 – prehľad a výber podľa cieľa","proteiny","najlepsie-proteiny-2025.webp","public/assets/img/articles/heroes/najlepsie-proteiny-2025.webp","Najlepšie proteíny 2025 – prehľad a výber podľa cieľa","Realistická profesionálna hero fotografia bez textu, viac proteínových balení v modernom produktovom layoute, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"pre-workout","Pre-workout – základný sprievodca","pre-workout","pre-workout.webp","public/assets/img/articles/heroes/pre-workout.webp","Pre-workout – základný sprievodca","Realistická profesionálna hero fotografia bez textu, predtréningový doplnok, shaker a energické športové prostredie, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"pre-workout-ako-vybrat","Ako vybrať pre-workout – stimulanty aj pumpa","pre-workout","pre-workout-ako-vybrat.webp","public/assets/img/articles/heroes/pre-workout-ako-vybrat.webp","Ako vybrať pre-workout – stimulanty aj pumpa","Realistická profesionálna hero fotografia bez textu, pre-workout doplnok, shaker a minimalistický gym detail, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"probiotika-a-travenie","Probiotiká a trávenie – čo naozaj funguje","probiotika-travenie","probiotika-a-travenie.webp","public/assets/img/articles/heroes/probiotika-a-travenie.webp","Probiotiká a trávenie – čo naozaj funguje","Realistická profesionálna hero fotografia bez textu, probiotiká, jogurt alebo kapsuly a jemný wellness detail, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"probiotika-ako-vybrat","Probiotiká – ako vybrať a na čo si dať pozor","probiotika-travenie","probiotika-ako-vybrat.webp","public/assets/img/articles/heroes/probiotika-ako-vybrat.webp","Probiotiká – ako vybrať a na čo si dať pozor","Realistická profesionálna hero fotografia bez textu, probiotiká v kapsulách na čistom minimalistickom stole, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"protein-na-chudnutie","Proteín na chudnutie – ako vyberať a dávkovať","proteiny","protein-na-chudnutie.webp","public/assets/img/articles/heroes/protein-na-chudnutie.webp","Proteín na chudnutie – ako vyberať a dávkovať","Realistická profesionálna hero fotografia bez textu, proteínový shake, zdravé raňajky a fitness koncept chudnutia, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"proteiny","Proteíny: prehľad typov a rýchlych odporúčaní","proteiny","proteiny.webp","public/assets/img/articles/heroes/proteiny.webp","Proteíny: prehľad typov a rýchlych odporúčaní","Realistická profesionálna hero fotografia bez textu, proteínový doplnok, shaker a moderný wellness/fitness packshot, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"proteiny-na-chudnutie","Proteín na chudnutie – ako vyberať a dávkovať","proteiny","proteiny-na-chudnutie.webp","public/assets/img/articles/heroes/proteiny-na-chudnutie.webp","Proteín na chudnutie – ako vyberať a dávkovať","Realistická profesionálna hero fotografia bez textu, proteínový doplnok, shaker a moderný wellness/fitness packshot, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"spalovace-tukov-realita","Spaľovače tukov – čo je realita a čo marketing","chudnutie","spalovace-tukov-realita.webp","public/assets/img/articles/heroes/spalovace-tukov-realita.webp","Spaľovače tukov – čo je realita a čo marketing","Realistická profesionálna hero fotografia bez textu, fitness doplnok, ovocie a čistý lifestyle koncept chudnutia, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"srvatkovy-protein-vs-izolat-vs-hydro","Srvátkový proteín vs. izolát vs. hydro – čo sa oplatí?","proteiny","srvatkovy-protein-vs-izolat-vs-hydro.webp","public/assets/img/articles/heroes/srvatkovy-protein-vs-izolat-vs-hydro.webp","Srvátkový proteín vs. izolát vs. hydro – čo sa oplatí?","Realistická profesionálna hero fotografia bez textu, tri typy proteínových doplnkov v porovnávacom produktovom zábere, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"veganske-proteiny-top","Vegánske proteíny – top výber 2025","proteiny","veganske-proteiny-top.webp","public/assets/img/articles/heroes/veganske-proteiny-top.webp","Vegánske proteíny – top výber 2025","Realistická profesionálna hero fotografia bez textu, vegánsky proteín, rastlinné ingrediencie a čisté pastelové pozadie, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"veganske-proteiny-top-vyber-2025","Vegánske proteíny – top výber 2025","proteiny","veganske-proteiny-top-vyber-2025.webp","public/assets/img/articles/heroes/veganske-proteiny-top-vyber-2025.webp","Vegánske proteíny – top výber 2025","Realistická profesionálna hero fotografia bez textu, vegánsky proteín, rastlinné ingrediencie a čisté pastelové pozadie, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"vitamin-c","Vitamín C – dávky, zdroje a kedy dopĺňať","mineraly","vitamin-c.webp","public/assets/img/articles/heroes/vitamin-c.webp","Vitamín C – dávky, zdroje a kedy dopĺňať","Realistická profesionálna hero fotografia bez textu, vitamín C, citrusy a čistý wellness packshot, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"vitamin-d3","Vitamín D3 – dávky a formy","mineraly","vitamin-d3.webp","public/assets/img/articles/heroes/vitamin-d3.webp","Vitamín D3 – dávky a formy","Realistická profesionálna hero fotografia bez textu, vitamín D3, kapsuly a jemné denné svetlo, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"vitamin-d3-a-imunita","Vitamín D3 a imunita – čo hovoria štúdie","mineraly","vitamin-d3-a-imunita.webp","public/assets/img/articles/heroes/vitamin-d3-a-imunita.webp","Vitamín D3 a imunita – čo hovoria štúdie","Realistická profesionálna hero fotografia bez textu, vitamín D3, citrusy a zdravý lifestyle detail, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
"zinek","Zinok – formy a kedy dopĺňať","mineraly","zinek.webp","public/assets/img/articles/heroes/zinek.webp","Zinok – formy a kedy dopĺňať","Realistická profesionálna hero fotografia bez textu, zinok v kapsulách a minimalistický doplnok výživy packshot, svetlé minimalistické pozadie, jemné pastelové farby, moderný health/fitness look, vysoká kvalita, prirodzené svetlo, bez koláže, pomer 3:2.","todo"
